Nom	Type	Description	RA	DEC	Mag	GrandeurWidth	GrandeurHeight	Constellation	Catalogue
M 50	Amas d’étoiles ouvert	Amas en forme de Coeur – NGC 2323	7,04	-7,64	5,9	0,25	0,25	La Licorne	Messier
M 51	Galaxie	Galaxie du Tourbillon – NGC 5194	13,5	47,2	8,1	0,19	0,12	Les Chiens de Chasse	Messier
M 52	Amas d’étoiles ouvert	Amas Sel-et-Poivre de Cassiopée – NGC 7654	23,41	61,59	6,9	0,27	0,27	Cassiopée	Messier
M 53	Amas d’étoiles ouvert	NGC 5024	13,22	18,17	7,7	0,22	0,22	La Chevelure de Bérénice	Messier
M 54	Amas d’étoiles globulaire	NGC 6715	18,92	-29,52	7,7	0,2	0,2	Le Sagittaire	Messier
M 55	Amas d’étoiles globulaire	Amas du Spectre – NGC 6809	19,67	-29,04	7,42	0,32	0,32	Le Sagittaire	Messier
M 56	Amas d’étoiles globulaire	NGC 6779	19,28	30,18	8,4	0,15	0,15	La Lyre	Messier
M 57	Nébuleuse planétaire	Nébuleuse de l’Anneau – NGC 6720	18,89	33,03	8,8	0,06	0,04	La Lyre	Messier
M 58	Galaxie	NGC 4579	12,63	11,82	9,66	0,1	0,08	La Vierge	Messier
M 59	Galaxie	NGC 4621	12,7	11,65	10,6	0,09	0,06	La Vierge	Messier
M 60	Galaxie	NGC 4649	12,73	11,55	9,8	0,12	0,1	La Vierge	Messier
M 61	Galaxie	Galaxie spirale de l’Enflure – NGC 4303	12,37	4,47	9,65	0,11	0,1	La Vierge	Messier
M 62	Amas d’étoiles globulaire	Amas globulaire vacillant – NGC 6266	17,02	-29,89	7,39	0,25	0,25	Ophiuchus	Messier
M 63	Galaxie	Galaxie du Tournesol – NGC 5055	13,26	42,03	8,59	0,21	0,12	Les Chiens de Chasse	Messier
M 64	Galaxie	Black Eye Galaxy – NGC 4826	12,95	21,68	8,52	0,18	0,09	La Chevelure de Bérénice	Messier
M 65	Galaxie	Triplet du Lion – NGC 3623	11,34	12,99	10,25	0,15	0,04	Le Lion	Messier
M 66	Galaxie	Triplet du Lion – NGC 3627	11,34	12,99	8,92	0,15	0,07	Le Lion	Messier
M 67	Amas d’étoiles ouvert	Golden-Eye Cluster – NGC 2682	8,86	11,81	6,9	0,42	0,42	Le Cancer	Messier
M 68	Amas d’étoiles globulaire	NGC 4590	12,66	-25,26	7,3	0,18	0,18	L’Hydre	Messier
M 69	Amas d’étoiles globulaire	NGC 6637	18,52	-31,65	8,31	0,14	0,14	Le Sagittaire	Messier
M 70	Amas d’étoiles globulaire	NGC 6681	18,72	-31,71	9,06	0,13	0,13	Le Sagittaire	Messier
M 71	Amas d’étoiles globulaire	Amas du Poisson scalaire – NGC 6838	19,9	18,78	6,1	0,12	0,12	La Flèche	Messier
M 72	Amas d’étoiles globulaire	NGC 6981	20,89	-11,46	9,2	0,11	0,11	Le Verseau	Messier
M 73	Amas d’étoiles ouvert	NGC 6994	20,98	-11,37	8,9	0,05	0,05	Le Verseau	Messier
M 74	Galaxie	Galaxie du Fantôme	1,61	15,78	9,39	0,18	0,16	Les Poissons	Messier
M 75	Amas d’étoiles globulaire	NGC 6864	20,1	-20,08	9,18	0,11	0,03	Le Sagittaire	Messier
M 76	Nébuleuse planétaire	Nébuleuse de la petite Haltère – NGC 650	1,71	51,58	10,1	0,05	0,04	Persée	Messier
M 77	Galaxie	Cetus A – NGC 1068	2,71	0,01	8,87	0,12	0,1	La Baleine	Messier
M 78	Nébuleuse par réflexion	Nébuleuse de Casper le Fantôme – NGC 2068	5,78	0,08	8,3	0,13	0,1	Orion	Messier
M 79	Amas d’étoiles globulaire	NGC 1904	5,4	-23,48	8,56	0,16	0,16	Le Lièvre	Messier
M 80	Amas d’étoiles globulaire	NGC 6093	16,28	-21,02	7,87	0,17	0,17	Le Scorpion	Messier
M 81	Galaxie	Galaxie de Bode – NGC 3031	9,93	69,07	6,94	0,45	0,24	La Grande Ours	Messier
M 82	Galaxie	Galaxie du Cigare – NGC 3034	9,93	69,07	8,41	0,19	0,07	La Grande Ours	Messier
M 83	Galaxie	Galaxie du Moulinet du Sud – NGC 5236	13,62	-28,13	7,54	0,22	0,19	Le Centaure	Messier
M 84	Galaxie	Chaîne de Markarian – NGC 4374	12,44	12,95	10,49	0,11	0,09	La Vierge	Messier
M 85	Galaxie	NGC 4382	12,42	18,19	10	0,12	0,09	La Chevelure de Bérénice	Messier
M 86	Galaxie	Faust V051 – NGC 4406	12,44	12,95	8,9	0,15	0,1	La Vierge	Messier
M 87	Galaxie	Galaxie Virgo – NGC 4486	12,51	12,39	8,63	0,12	0,11	La Vierge	Messier
