Nom	Type	Description	RA	DEC	Mag	GrandeurWidth	GrandeurHeight	Constellation	Catalogue
M 68	Amas d’étoiles globulaire	NGC 4590	12.6577777777778	-26.7422222222222	7,3	0,18	0,18	L’Hydre	Messier
M 69	Amas d’étoiles globulaire	NGC 6637	18.5231111111111	-32.3475	8,31	0,14	0,14	Le Sagittaire	Messier
M 70	Amas d’étoiles globulaire	NGC 6681	18.7201944444444	-32.2913888888889	9,06	0,13	0,13	Le Sagittaire	Messier
M 71	Amas d’étoiles globulaire	Amas du Poisson scalaire – NGC 6838	19.8961388888889	18.7788888888889	6,1	0,12	0,12	La Flèche	Messier
M 72	Amas d’étoiles globulaire	NGC 6981	20.8910833333333	-12.5363888888889	9,2	0,11	0,11	Le Verseau	Messier
M 73	Amas d’étoiles ouvert	NGC 6994	20.9822222222222	-12.6333333333333	8,9	0,05	0,05	Le Verseau	Messier
M 74	Galaxie	Galaxie du Fantôme	1.61158333333333	15.7833333333333	9,39	0,18	0,16	Les Poissons	Messier
M 75	Amas d’étoiles globulaire	NGC 6864	20.1013333333333	-21.9208333333333	9,18	0,11	0,03	Le Sagittaire	Messier
M 76	Nébuleuse planétaire	Nébuleuse de la petite Haltère – NGC 650	1.70502777777778	51.5713888888889	10,1	0,05	0,04	Persée	Messier
M 77	Galaxie	Cetus A – NGC 1068	2.71133333333333	0.0127777777777778	8,87	0,12	0,1	La Baleine	Messier
M 78	Nébuleuse par réflexion	Nébuleuse de Casper le Fantôme – NGC 2068	5.77916666666667	0.08	8,3	0,13	0,1	Orion	Messier
M 79	Amas d’étoiles globulaire	NGC 1904	5.40294444444444	-24.5236111111111	8,56	0,16	0,16	Le Lièvre	Messier
M 80	Amas d’étoiles globulaire	NGC 6093	16.2840277777778	-22.9744444444444	7,87	0,17	0,17	Le Scorpion	Messier
M 81	Galaxie	Galaxie de Bode – NGC 3031	9.92597222222222	69.0672222222222	6,94	0,45	0,24	La Grande Ours	Messier
M 82	Galaxie	Galaxie du Cigare – NGC 3034	9.93166666666667	69.6830555555556	8,41	0,19	0,07	La Grande Ours	Messier
M 83	Galaxie	Galaxie du Moulinet du Sud – NGC 5236	13.6167222222222	-29.8672222222222	7,54	0,22	0,19	Le Centaure	Messier
M 84	Galaxie	Chaîne de Markarian – NGC 4374	12.4176666666667	12.8869444444444	10,49	0,11	0,09	La Vierge	Messier
M 85	Galaxie	NGC 4382	12.4233055555556	18.1908333333333	10	0,12	0,09	La Chevelure de Bérénice	Messier
M 86	Galaxie	Faust V051 – NGC 4406	12.4365277777778	12.9463888888889	8,9	0,15	0,1	La Vierge	Messier
M 87	Galaxie	Galaxie Virgo – NGC 4486	12.5137222222222	12.3905555555556	8,63	0,12	0,11	La Vierge	Messier
M 88	Galaxie	NGC 4501	12.5330555555556	14.4197222222222	13,18	0,12	0,06	La Chevelure de Bérénice	Messier
M 89	Galaxie	NGC 4552	12.5944166666667	12.5561111111111	9,75	0,09	0,08	La Vierge	Messier
M 90	Galaxie	NGC 4569	12.6138888888889	13.1638888888889	9,54	0,16	0,07	La Vierge	Messier
M 91	Galaxie	NGC 4548	12.5906666666667	14.4963888888889	13,57	0,09	0,07	La Chevelure de Bérénice	Messier
M 92	Amas d’étoiles globulaire	NGC 6341	17.2853611111111	43.1369444444444	6,4	0,23	0,23	Hercule	Messier
M 93	Amas d’étoiles ouvert	Amas du Papillon – NGC 2447	7.74166666666667	-23.8566666666667	6,2	0,17	0,17	La Poupe	Messier
M 94	Galaxie	Galaxie de l’Oeil du Crocodile – NGC 4736	12.8480833333333	41.1213888888889	8,24	0,19	0,15	Les Chiens de Chasse	Messier
M 95	Galaxie	NGC 3351	10.7327222222222	11.7033333333333	9,73	0,05	0,05	Le Lion	Messier
M 96	Galaxie	NGC 3368	10.7793888888889	11.82	9,25	0,13	0,09	Le Lion	Messier
M 97	Nébuleuse planétaire	Nébuleuse de la Chouette – NGC 3587	11.2465833333333	55.0194444444444	9,9	0,06	0,06	La Grande Ours	Messier
M 98	Galaxie	NGC 4192	12.2299444444444	14.8994444444444	10,14	0,16	0,05	La Chevelure de Bérénice	Messier
M 99	Galaxie	Moulinet de l’amas de la Vierge – NGC 4254	12.3136944444444	14.4175	9,87	0,09	0,08	La Chevelure de Bérénice	Messier
M 100	Galaxie	Galaxie du Sèche-Cheveux – NGC 4321	12.3819166666667	15.8227777777778	9,35	0,12	0,11	La Chevelure de Bérénice	Messier
M 101	Galaxie	Galaxie du Moulinet – NGC 5457	14.0534444444444	54.3494444444444	7,86	0,48	0,45	La Grande Ours	Messier
M 102	Galaxie	Galaxie du Fuseau – NGC 5866	15.1081666666667	55.7636111111111	9,89	0,11	0,05	Le Dragon	Messier
M 103	Amas d’étoiles ouvert	NGC 581	1.55638888888889	60.6583333333333	7,4	0,1	0,1	Cassiopée	Messier
M 104	Galaxie	Galaxie du Sombrero – NGC 4594	12.6664722222222	-11.6225	8	0,15	0,06	La Vierge	Messier
M 105	Galaxie	NGC 3379	10.7970833333333	12.5811111111111	9,76	0,09	0,08	Le Lion	Messier
M 106	Galaxie	NGC 4258	12.3160555555556	47.3069444444444	8,41	0,31	0,12	Les Chiens de Chasse	Messier
M 107	Amas d’étoiles globulaire	Amas du Crucifix – NGC 6171	16.5421944444444	-13.0530555555556	8,85	0,22	0,22	Ophiuchus	Messier
M 108	Galaxie	Galaxie de la Planche de Surf – NGC 3556	11.1915	55.6727777777778	10,7	0,15	0,04	La Grande Ours	Messier
M 109	Galaxie	Galaxie de l’Aspirateur – NGC 3992	11.9598333333333	53.3736111111111	10,6	0,13	0,08	La Grande Ours	Messier
M 110	Galaxie	NGC 205	0.672805555555556	41.6852777777778	8,07	0,37	0,18	Andromède	Messier
NGC 891	Galaxie	Caldwell 23	2,3758	42,3483	10,1	0,225	0,04166	Andromède	NGC
NGC 7662	Nébuleuse planétaire	Boule de neige bleue – Caldwell 22	23,4315	42,535	8,3	0,01027	0,004166	Andromède	NGC
NGC 6781	Nébuleuse planétaire	Nébuleuse de la Boule de neige	19,30780278	6,538694	11,8	0,0294	0,0294	L’Aigle	NGC
NGC 7009	Nébuleuse planétaire	Nébuleuse de Saturne – Caldwell 55	21,069688	-11,363416	8	0,011388	0,009722	Le Verseau	NGC
NGC 7293	Nébuleuse planétaire	Nébuleuse de l’Hélice – Caldwell 63	22,494038	-20,8371	7,6	0,4166	0,2233	Le Verseau	NGC
NGC 772	Galaxie	Galaxie de la Crosse de la Fougère	1,988775	19,0075	10,31	0,079166	0,0633	Le Bélier	NGC
NGC 1907	Amas d’étoiles ouvert	Cr 66	5,46806944	35,325	8,2	0,8333	0,8333	Le Cocher	NGC
NGC 1931	Nébuleuse bipolaire	The Fly Nebula – SH2-237	5,52300278	34,233	10,1	0,0667	0,0667	Le Cocher	NGC
NGC 1501	Nébuleuse planétaire	Nébuleuse de l’Oeil du Chameau	4,11649722	60,920667	13	0,0145	0,0145	La Girafe	NGC
NGC 2403	Galaxie	Caldwell 7	7,614278	65,6026	8,9	0,365	0,205	La Girafe	NGC
NGC 2655	Galaxie	Arp 225	8,925389	78,223834	11,08	0,0577	0,046134	La Girafe	NGC
NGC 185	Galaxie	Caldwell 18	0,64970278	48,334834	9,2	0,195	0,1667	Cassiopée	NGC
NGC 281	Région HII	Nébuleuse Pacman – SH2-184	0,873928	53,56175	7,4	0,5834	0,5	Cassiopée	NGC
NGC 457	Amas d’étoiles ouvert	Amas de la Libellule – Caldwell 13	1,326625	58,283417	6,4	0,3334	0,3334	Cassiopée	NGC
NGC 663	Amas d’étoiles ouvert	Amas de la Tondeuse à Gazon – Caldwell 10	1,769294	61,231083	7,1	0,25	0,25	Cassiopée	NGC
NGC 7789	Amas d’étoiles ouvert	Amas de la Rose de Caroline	23,95708611	56,7054	6,7	0,5	0,5	Cassiopée	NGC
NGC 5128	Galaxie	Centaurus A – Caldwell 77	13,42419167	-43,021556	6,84	0,428334	0,3334	Le Centaure	NGC
NGC 5139	Amas d’étoiles globulaire	Amas W Cen – Caldwell 80	13,446311	-47,482278	5,33	0,916667	0,916667	Le Centaure	NGC
NGC 40	Nébuleuse planétaire	Nébuleuse du Noeud-Papillon – Caldwell 2	0,21765	72,518223	10,7	0,0105	0,009667	Céphée	NGC
NGC 6939	Amas d’étoiles ouvert	Amas du Buisson Fantôme	20,52573611	60,66280556	7,8	0,08334	0,08334	Céphée	NGC
NGC 6946	Galaxie	Galaxie du Feu d’Artifice – Caldwell 12	20,5819305555556	60,1544444444444	9,6	0,191667	0,16334	Le Cygne	NGC
NGC 7129	Amas associé à une nébulosité	Nébuleuse du Petit Amas	21,7163888888889	66,1021666666667	11,5	0,0334	0,0334	Céphée	NGC
NGC 246	Nébuleuse planétaire	Nébuleuse du Crâne – Caldwell 56	0,784430555555556	-11,8695	10,9	0,062216667	0,163334	La Baleine	NGC
